principle_id	topic	frozen_principle	enforcement	enforced_by	criterion_draft
FP-01	Discovery	Run local TF-MoDISco separately on promoter and on distal; do not substitute a genome-wide motif catalog for that run.	PARTIAL	ingest refuses an analysis that declares no context or whose discovery file is absent, and checksums every discovery HDF5 it reads; the catalog-substitution clause has no field and no check	(remaining clause) For every (model, readout, sequence_context) declared in the project config, the registry contains at least one discovery run whose provenance names that context and carries its own input-region checksum, and no admitted node has a catalog scan as its only support. FAIL if a declared context has no discovery run, or if an admitted node's sole support is a catalog scan.
FP-02	Shared lexicon	Merge promoter+distal within each model/readout; AG and CBP CWMs are never averaged across models.	PARTIAL	no stage in this release combines CWMs at all, and that is now checked rather than assumed: compile.operations_log reads each compiled lexicon back and classifies every emitted motif against the registry arrays it stands for, and guards.no_cross_model_cwm_avg refuses the compile before publication if any of them is a mean that does not hold model, readout and metacluster fixed; what that check reaches is bounded and the bound is pinned by test_a_cross_model_mean_made_upstream_of_the_registry_passes -- the reference set is the registry, so combination performed BEFORE ingest arrives as an ordinary registry motif, is classified copy, and passes, and an average over inputs whose matrices are identical is invisible in the bytes at all; the within-analysis promoter+distal union belongs to compile/, which is a skeleton	NOT_APPLICABLE_ENFORCEMENT_EXISTS
FP-03	Identity	Cross-model identity travels through family_id/variant_id; the specific TF label is recorded separately, with its own confidence.	ENFORCED	schema.MotifNode separates family_id/variant_id from putative_tf_label and rejects a confidence outside [0,1]; guards.variant_id_unique	NOT_APPLICABLE_ENFORCEMENT_EXISTS
FP-04	Collapse	Only complete duplicates are merged; fragments, distinct flanks, composites and weak similarities are kept separate. An exception grounded in TF annotation rather than in matrix geometry or downstream behaviour must be recorded as a manual override with a written rationale, and must not be presented as the product of a multi-evidence gate.	PARTIAL	schema.Decision.KEEP_SEPARATE_CURATOR_OVERRIDE plus required rationale/decided_by make an override recordable and distinguishable from a gate product; the duplicate criterion itself belongs to adjudicate/, which is a skeleton	NOT_APPLICABLE_ENFORCEMENT_EXISTS
FP-05	Representative	The representative is an observed medoid; CWMs are not averaged by default; unrestricted single-linkage is prohibited.	PARTIAL	compile refuses a collapse whose representative is not one of its own members, which is what 'observed medoid, never a constructed average' means at the artifact level, and compile.operations_log now records for every emitted motif whether its matrices are the registry's own or the mean of the ones it stands for, so a constructed representative is at least visible in a shipped artifact; the linkage clause has no check, and a within-model averaged representative still passes guards.no_cross_model_cwm_avg on its own terms -- it holds all three axes fixed -- so that case is recorded rather than refused	(remaining clause) Every collapsed cluster names a representative that appears in its own member list; no representative is produced by an averaging operation; every clustering step records its linkage, and single linkage is admissible only with a declared distance ceiling. FAIL on a representative that is not a member, on an averaged representative, or on unrestricted single linkage.
FP-06	Tiers	core is the conservative specification, expanded the sensitivity specification; a moderate merge automatically generates a split lexicon. discovery_tier and analysis_tier are recorded separately, and combined duplicate support is summed only over accepted true duplicates within the same model/readout/metacluster.	PARTIAL	schema.MotifNode carries discovery_tier and analysis_tier separately and requires tier_reason when they differ; compile auto-generates the split lexicon from three named triggers (merge_confidence != HIGH, family_ambiguity, threshold_sensitive) and records which fired. What makes a merge moderate is undecided -- see FP-13 -- so compile dispatches on a declared grade and never assigns one. The summation scope for combined duplicate support is unchecked	NOT_APPLICABLE_ENFORCEMENT_EXISTS
FP-07	Instance calling	Complete attribution equivalence, the real loader and the matched-peak pilot before the formal FiNeMo run.	DOC_ONLY	validate/ records backend verification but has no orchestrator that orders or checksums the three prerequisites	An instance-calling run is admissible only if its provenance names three prerequisite artifacts by checksum -- attribution equivalence, loader identity, matched-peak pilot -- each with a timestamp earlier than the run. FAIL if any is absent, unchecksummed, or later than the run it licenses.
FP-08	Redundancy	Redundancy shows up in two forms -- apportionment between co-located instances, and low-importance scatter -- and the downstream Δ of both tends to zero. Positional novelty does not count as coverage evidence; both the coefficient share and the reconstruction gain must be satisfied.	DOC_ONLY	validate/ emits an affected coefficient share and reconstruction delta, but does not yet validate a redundancy claim's estimation methods or prohibit positional novelty standing alone	A collapse justified as redundancy carries both a coefficient-share field and a reconstruction-gain field, each naming its estimation method; a positional-novelty field may never be the only evidence present. FAIL if either field is absent or if positional novelty stands alone.
FP-09	Sign	Registration is established on unsigned sequence content; signed similarity is reported only as an independent statistic at that registration. Making a signed quantity the search objective renders sign-inverted pairs invisible. Positive/negative separation holds within a single readout and does not automatically carry across readouts.	PARTIAL	guards.sign_alignment rejects registration on a signed quantity and rejects signed similarity choosing the offset; the cross-readout clause (sign separation does not carry across readouts) has no check	NOT_APPLICABLE_ENFORCEMENT_EXISTS
FP-10	Scale	Metacluster formation carries an absolute count threshold, and therefore varies with subset size. Any report of presence or absence must report the per-peak rate alongside it; check scale before comparing composition across clusters or across models. The size threshold is the proximate mechanism, not the ultimate cause -- the rate itself may also differ (diffuse versus concentrated), in which case the absence is not explained by an insufficient peak count. Until the ultimate cause is established to the exclusion of the others, record UNEXPLAINED.	DOC_ONLY	nothing checks the assertion. ingest now records which of the three absences occurred (schema.MetaclusterState), which the criterion needs as an input but is not itself the check; guards.single_scale governs the hit substrate, a different instrument	Any assertion that a motif class is absent from a subset carries the subset's peak count, the per-peak rate in the comparison subset, and either a rate-difference result or the literal label UNEXPLAINED. FAIL if absence is asserted from a presence/absence field alone, or if a rate difference is attributed to peak count without a measured rate.
